intent,question,answer
borrow_quantity,how many titles can i borrow simultaneously,You can borrow up to 5 books at a time as a student.
borrow_location,where do i borrow my books,You need to borrow books at the Service Counter on Level G.
borrow_location,where can i borrow a book,You need to borrow books at the Service Counter on Level G.
borrow_location,where is the book borrow area,You need to borrow books at the Service Counter on Level G.
borrow_location,where can i borrow books in the library,You need to borrow books at the Service Counter on Level G.
borrow_location,which counter do i borrow books to,You need to borrow books at the Service Counter on Level G.
borrow_location,where is the borrow point for books,You need to borrow books at the Service Counter on Level G.
borrow_location,where do i go to borrow library books,You need to borrow books at the Service Counter on Level G.
borrow_location,where is the counter to borrow books,You need to borrow books at the Service Counter on Level G.
borrow_location,where exactly do i borrow books from,You need to borrow books at the Service Counter on Level G.
borrow_location,where's the borrow section located,You need to borrow books at the Service Counter on Level G.
borrow_location,which counter to borrow books,You need to borrow books at the Service Counter on Level G.
borrow_location,which area is for book borrows,You need to borrow books at the Service Counter on Level G.
borrow_requirement,what do i need to bring to borrow a book, You must bring your student ID card then only you can borrow a book.
borrow_requirement,do i need my student id to borrow books, You must bring your student ID card then only you can borrow a book.
borrow_requirement,what's required to borrow a book here, You must bring your student ID card then only you can borrow a book.
borrow_requirement,do i need any documents to borrow a book, You must bring your student ID card then only you can borrow a book.
borrow_requirement,what identification do i need to borrow, You must bring your student ID card then only you can borrow a book.
borrow_requirement,is student id required for borrowing, You must bring your student ID card then only you can borrow a book.
borrow_requirement,can i just borrow the book without student id, You must bring your student ID card then only you can borrow a book.
borrow_requirement,what do i need for borrow a book, You must bring your student ID card then only you can borrow a book.
borrow_requirement,is anythings require for borrow a book, You must bring your student ID card then only you can borrow a book.
borrow_requirement,how to borrow a book, You must bring your student ID card then only you can borrow a book.
borrow_requirement,what items do i need to bring to loan a book, You must bring your student ID card then only you can borrow a book.
borrow_requirement,requirements to borrow a book from library, You must bring your student ID card then only you can borrow a book.
return_location,where do i return my books,You can return your books at the Service Counter or the Book Return Machine near the library entrance.
return_location,where can i return a borrowed book,You can return your books at the Service Counter or the Book Return Machine near the library entrance.
return_location,where is the book return area,You can return your books at the Service Counter or the Book Return Machine near the library entrance.
return_location,where should i drop off my books,You can return your books at the Service Counter or the Book Return Machine near the library entrance.
return_location,which counter do i return books to,You can return your books at the Service Counter or the Book Return Machine near the library entrance.
return_location,where is the return point for books,You can return your books at the Service Counter or the Book Return Machine near the library entrance.
return_location,where do i go to return library books,You can return your books at the Service Counter or the Book Return Machine near the library entrance.
return_location,location to return borrowed items,You can return your books at the Service Counter or the Book Return Machine near the library entrance.
return_location,where can i give back my book,You can return your books at the Service Counter or the Book Return Machine near the library entrance.
return_location,where's the return section located,You can return your books at the Service Counter or the Book Return Machine near the library entrance.
return_location,where do i submit my returned books,You can return your books at the Service Counter or the Book Return Machine near the library entrance.
return_location,which area is for book returns,You can return your books at the Service Counter or the Book Return Machine near the library entrance.
counter_return,can i return book at the counter,"Yes, you can return your book at the Service Counter on Level G."
counter_return,is counter return allowed,"Yes, you can return your book at the Service Counter on Level G."
counter_return,can i return my book to a staff member directly,"Yes, you can return your book at the Service Counter on Level G."
counter_return,am i allowed to return books at the service counter,"Yes, you can return your book at the Service Counter on Level G."
counter_return,can i hand in my book at the counter,"Yes, you can return your book at the Service Counter on Level G."
counter_return,is it possible to return a book to staff,"Yes, you can return your book at the Service Counter on Level G."
counter_return,can i return via the circulation counter,"Yes, you can return your book at the Service Counter on Level G."
counter_return,does the counter accept book returns,"Yes, you can return your book at the Service Counter on Level G."
counter_return,can i return my book in person at the counter,"Yes, you can return your book at the Service Counter on Level G."
counter_return,is counter return an option here,"Yes, you can return your book at the Service Counter on Level G."
counter_return,can staff accept my book return at the counter,"Yes, you can return your book at the Service Counter on Level G."
counter_return,am i able to return books directly to a librarian,"Yes, you can return your book at the Service Counter on Level G."
machine_return,can i use the machine to return books,"Yes, you can also return your book using the self-service Book Return Machine located near the library entrance."
machine_return,is there a self return machine,"Yes, you can also return your book using the self-service Book Return Machine located near the library entrance."
machine_return,can i return books through the machine,"Yes, you can also return your book using the self-service Book Return Machine located near the library entrance."
machine_return,does the library have an automated return machine,"Yes, you can also return your book using the self-service Book Return Machine located near the library entrance."
machine_return,where is the book return machine,"Yes, you can also return your book using the self-service Book Return Machine located near the library entrance."
machine_return,can i use the rfid machine to return books,"Yes, you can also return your book using the self-service Book Return Machine located near the library entrance."
machine_return,is there a drop box machine for returns,"Yes, you can also return your book using the self-service Book Return Machine located near the library entrance."
machine_return,can i return my book without going to the counter,"Yes, you can also return your book using the self-service Book Return Machine located near the library entrance."
machine_return,is self service return available,"Yes, you can also return your book using the self-service Book Return Machine located near the library entrance."
machine_return,how does the return machine work,"Yes, you can also return your book using the self-service Book Return Machine located near the library entrance."
machine_return,can i just scan my book at the machine to return it,"Yes, you can also return your book using the self-service Book Return Machine located near the library entrance."
machine_return,is there an automatic book drop machine,"Yes, you can also return your book using the self-service Book Return Machine located near the library entrance."
renew_location,where can i renew my book,You can renew your book online at Service Counter on Level G.
renew_location,where do i go to renew a book,You can renew your book online at Service Counter on Level G.
renew_location,can i renew my book online,You can renew your book online at Service Counter on Level G.
renew_location,where should i renew my borrowed book,You can renew your book online at Service Counter on Level G.
renew_location,is there an online option to renew books,You can renew your book online at Service Counter on Level G.
renew_location,where do i extend my book loan,You can renew your book online at Service Counter on Level G.
renew_location,where can i do book renewal,You can renew your book online at Service Counter on Level G.
renew_location,can renewal be done outside the library,You can renew your book online at Service Counter on Level G.
renew_location,where is renewal handled,You can renew your book online at Service Counter on Level G.
renew_location,do i have to come to the library to renew,You can renew your book online at Service Counter on Level G.
renew_location,where can i extend my loan period,You can renew your book online at Service Counter on Level G.
renew_location,renewal location for borrowed books,You can renew your book online at Service Counter on Level G.
renew_day,how many days can i renew my book for,You can renew your book for an additional 14 days.
renew_day,how long is the renewal period,You can renew your book for an additional 14 days.
renew_day,how many extra days do i get when i renew,You can renew your book for an additional 14 days.
renew_day,what's the renewal duration,You can renew your book for an additional 14 days.
renew_day,how many days does renewal add,You can renew your book for an additional 14 days.
renew_day,how long can i extend my book loan,You can renew your book for an additional 14 days.
renew_day,how many additional days for renewal,You can renew your book for an additional 14 days.
renew_day,renewal period is how many days,You can renew your book for an additional 14 days.
renew_day,how much longer can i keep the book after renewing,You can renew your book for an additional 14 days.
renew_day,how many days extension do i get,You can renew your book for an additional 14 days.
renew_day,what's the extended loan period after renewal,You can renew your book for an additional 14 days.
renew_day,how far can i push back the due date by renewing,You can renew your book for an additional 14 days.
renew_action,how do i renew my book,You must go to the Service Counter on Level G to renew a book.
renew_action,what's the process to renew a book,You must go to the Service Counter on Level G to renew a book.
renew_action,how can i extend my book loan,You must go to the Service Counter on Level G to renew a book.
renew_action,steps to renew a borrowed book,You must go to the Service Counter on Level G to renew a book.
renew_action,how do i renew online,You must go to the Service Counter on Level G to renew a book.
renew_action,how to extend the due date of my book,You must go to the Service Counter on Level G to renew a book.
renew_action,explain how renewal works,You must go to the Service Counter on Level G to renew a book.
renew_action,how do i click renew on the portal,You must go to the Service Counter on Level G to renew a book.
renew_action,what do i click to renew my loan,You must go to the Service Counter on Level G to renew a book.
renew_action,how to renew a book through my account,You must go to the Service Counter on Level G to renew a book.
renew_action,guide me through renewing a book,You must go to the Service Counter on Level G to renew a book.
renew_action,how does the renewal process work,You must go to the Service Counter on Level G to renew a book.
check_fine,how do i check my fine,You can check your fine by logging into the library portal and viewing the 'Fines' section under your account.
check_fine,where can i see my outstanding fine,You can check your fine by logging into the library portal and viewing the 'Fines' section under your account.
check_fine,how do i know if i have a fine,You can check your fine by logging into the library portal and viewing the 'Fines' section under your account.
check_fine,how to check if i owe any fines,You can check your fine by logging into the library portal and viewing the 'Fines' section under your account.
check_fine,where do i view my fine amount,You can check your fine by logging into the library portal and viewing the 'Fines' section under your account.
check_fine,how can i see my total fine balance,You can check your fine by logging into the library portal and viewing the 'Fines' section under your account.
check_fine,how do i check for overdue charges,You can check your fine by logging into the library portal and viewing the 'Fines' section under your account.
check_fine,is there a way to check my fines online,You can check your fine by logging into the library portal and viewing the 'Fines' section under your account.
check_fine,where is the fine information shown,You can check your fine by logging into the library portal and viewing the 'Fines' section under your account.
check_fine,how do i find out my fine amount,You can check your fine by logging into the library portal and viewing the 'Fines' section under your account.
check_fine,how can i view my account fines,You can check your fine by logging into the library portal and viewing the 'Fines' section under your account.
check_fine,where to check outstanding fine balance,You can check your fine by logging into the library portal and viewing the 'Fines' section under your account.
late_fine,how much is the late fine,The late return fine is RM0.50 per day per book.
late_fine,what's the penalty for returning a book late,The late return fine is RM0.50 per day per book.
late_fine,how much do i pay for overdue books,The late return fine is RM0.50 per day per book.
late_fine,what's the fine amount for late return,The late return fine is RM0.50 per day per book.
late_fine,how much is charged per day for late books,The late return fine is RM0.50 per day per book.
late_fine,what is the daily late fee,The late return fine is RM0.50 per day per book.
late_fine,how much fine per day for overdue items,The late return fine is RM0.50 per day per book.
late_fine,what's the cost of returning a book late,The late return fine is RM0.50 per day per book.
late_fine,how much is the overdue penalty,The late return fine is RM0.50 per day per book.
late_fine,what's the rate for late returns,The late return fine is RM0.50 per day per book.
late_fine,how much do i owe per day if book is late,The late return fine is RM0.50 per day per book.
late_fine,fine amount for each day overdue,The late return fine is RM0.50 per day per book.
lost_fine,how much do i pay if i lose a book,"If you lose a book, you will need to pay the full replacement cost of the book plus a RM20 processing fee."
lost_fine,what's the fine for losing a book,"If you lose a book, you will need to pay the full replacement cost of the book plus a RM20 processing fee."
lost_fine,what happens if i lost my borrowed book,"If you lose a book, you will need to pay the full replacement cost of the book plus a RM20 processing fee."
lost_fine,how much is the penalty for a lost book,"If you lose a book, you will need to pay the full replacement cost of the book plus a RM20 processing fee."
lost_fine,what do i need to pay if the book is lost,"If you lose a book, you will need to pay the full replacement cost of the book plus a RM20 processing fee."
lost_fine,cost of replacing a lost library book,"If you lose a book, you will need to pay the full replacement cost of the book plus a RM20 processing fee."
lost_fine,what's the charge for a missing book,"If you lose a book, you will need to pay the full replacement cost of the book plus a RM20 processing fee."
lost_fine,how much does a lost book cost me,"If you lose a book, you will need to pay the full replacement cost of the book plus a RM20 processing fee."
lost_fine,penalty amount for losing library items,"If you lose a book, you will need to pay the full replacement cost of the book plus a RM20 processing fee."
lost_fine,what fee applies if i can't find my book,"If you lose a book, you will need to pay the full replacement cost of the book plus a RM20 processing fee."
lost_fine,how much to compensate for a lost book,"If you lose a book, you will need to pay the full replacement cost of the book plus a RM20 processing fee."
lost_fine,what's the replacement fee for lost books,"If you lose a book, you will need to pay the full replacement cost of the book plus a RM20 processing fee."
fine_payment_method,what payment method do you accept for fines,You can only pay your fine by cash at the Service Counter on Level G.
fine_payment_method,how can i pay my fine,You can only pay your fine by cash at the Service Counter on Level G.
fine_payment_method,what way can i pay my outstanding fine,You can only pay your fine by cash at the Service Counter on Level G.
fine_payment_method,what payment options are available for fines,You can only pay your fine by cash at the Service Counter on Level G.
fine_payment_method,how do i settle my fine payment,You can only pay your fine by cash at the Service Counter on Level G.
fine_payment_method,what methods can i use to pay my fine,You can only pay your fine by cash at the Service Counter on Level G.
fine_payment_method,how do i clear my fine amount,You can only pay your fine by cash at the Service Counter on Level G.
fine_payment_method,what's accepted for fine payment,You can only pay your fine by cash at the Service Counter on Level G.
fine_payment_method,how are fines paid here,You can only pay your fine by cash at the Service Counter on Level G.
fine_payment_method,what form of payment is accepted for fines,You can only pay your fine by cash at the Service Counter on Level G.
fine_payment_method,how do i pay off my fine balance,You can only pay your fine by cash at the Service Counter on Level G.
fine_payment_method,what payment types do you accept for fines,You can only pay your fine by cash at the Service Counter on Level G.
fine_payment_cashless,can i pay my fine online,"No, we do not accept online or cashless payment. Fines can only be paid in cash at the counter."
fine_payment_cashless,do you accept card payment for fines,"No, we do not accept online or cashless payment. Fines can only be paid in cash at the counter."
fine_payment_cashless,is there cashless payment for fines,"No, we do not accept online or cashless payment. Fines can only be paid in cash at the counter."
fine_payment_cashless,can i use an ewallet to pay my fine,"No, we do not accept online or cashless payment. Fines can only be paid in cash at the counter."
fine_payment_cashless,can i pay fine through online banking,"No, we do not accept online or cashless payment. Fines can only be paid in cash at the counter."
fine_payment_cashless,do you accept touch n go for fines,"No, we do not accept online or cashless payment. Fines can only be paid in cash at the counter."
fine_payment_cashless,is online transfer accepted for fine payment,"No, we do not accept online or cashless payment. Fines can only be paid in cash at the counter."
fine_payment_cashless,can i pay my fine with a debit card,"No, we do not accept online or cashless payment. Fines can only be paid in cash at the counter."
fine_payment_cashless,is there a cashless option for fines,"No, we do not accept online or cashless payment. Fines can only be paid in cash at the counter."
fine_payment_cashless,can i settle my fine via mobile payment,"No, we do not accept online or cashless payment. Fines can only be paid in cash at the counter."
fine_payment_cashless,do you accept credit card for fine payment,"No, we do not accept online or cashless payment. Fines can only be paid in cash at the counter."
fine_payment_cashless,can i pay fine using duitnow or grabpay,"No, we do not accept online or cashless payment. Fines can only be paid in cash at the counter."
library_hour,what are the library operating hours,The library normally operates from 8:30 AM to 9:00 PM on weekdays and from 9:00 AM to 5:00 PM on Saturdays. Would you like to know the operating hours during the examination period or semester holidays? Please let me know.
library_hour,what time does the library open,The library normally operates from 8:30 AM to 9:00 PM on weekdays and from 9:00 AM to 5:00 PM on Saturdays. Would you like to know the operating hours during the examination period or semester holidays? Please let me know.
library_hour,what time does the library close,The library normally operates from 8:30 AM to 9:00 PM on weekdays and from 9:00 AM to 5:00 PM on Saturdays. Would you like to know the operating hours during the examination period or semester holidays? Please let me know.
library_hour,what are your opening hours,The library normally operates from 8:30 AM to 9:00 PM on weekdays and from 9:00 AM to 5:00 PM on Saturdays. Would you like to know the operating hours during the examination period or semester holidays? Please let me know.
library_hour,when is the library open,The library normally operates from 8:30 AM to 9:00 PM on weekdays and from 9:00 AM to 5:00 PM on Saturdays. Would you like to know the operating hours during the examination period or semester holidays? Please let me know.
library_hour,what hours is the library operating,The library normally operates from 8:30 AM to 9:00 PM on weekdays and from 9:00 AM to 5:00 PM on Saturdays. Would you like to know the operating hours during the examination period or semester holidays? Please let me know.
library_hour,what time can i visit the library,The library normally operates from 8:30 AM to 9:00 PM on weekdays and from 9:00 AM to 5:00 PM on Saturdays. Would you like to know the operating hours during the examination period or semester holidays? Please let me know.
library_hour,library hours pls,The library normally operates from 8:30 AM to 9:00 PM on weekdays and from 9:00 AM to 5:00 PM on Saturdays. Would you like to know the operating hours during the examination period or semester holidays? Please let me know.
library_hour,when does the library open and close,The library normally operates from 8:30 AM to 9:00 PM on weekdays and from 9:00 AM to 5:00 PM on Saturdays. Would you like to know the operating hours during the examination period or semester holidays? Please let me know.
library_hour,what's the library's operating schedule,The library normally operates from 8:30 AM to 9:00 PM on weekdays and from 9:00 AM to 5:00 PM on Saturdays. Would you like to know the operating hours during the examination period or semester holidays? Please let me know.
library_hour,tell me the library's opening times,The library normally operates from 8:30 AM to 9:00 PM on weekdays and from 9:00 AM to 5:00 PM on Saturdays. Would you like to know the operating hours during the examination period or semester holidays? Please let me know.
library_hour,what time is the library open until,The library normally operates from 8:30 AM to 9:00 PM on weekdays and from 9:00 AM to 5:00 PM on Saturdays. Would you like to know the operating hours during the examination period or semester holidays? Please let me know.
exam_period,what are the library operating hours on exam period,"During examination periods, the library operates from 8:30 AM to 9:00 PM on weekdays, 8:30 AM to 5:00 PM on Saturdays, and 9:00 AM to 5:00 PM on Sundays."
exam_period,what time does the library open on exam period,"During examination periods, the library operates from 8:30 AM to 9:00 PM on weekdays, 8:30 AM to 5:00 PM on Saturdays, and 9:00 AM to 5:00 PM on Sundays."
exam_period,what time does the library close on exam period,"During examination periods, the library operates from 8:30 AM to 9:00 PM on weekdays, 8:30 AM to 5:00 PM on Saturdays, and 9:00 AM to 5:00 PM on Sundays."
exam_period,what are your opening hours on exam period,"During examination periods, the library operates from 8:30 AM to 9:00 PM on weekdays, 8:30 AM to 5:00 PM on Saturdays, and 9:00 AM to 5:00 PM on Sundays."
exam_period,when is the library open on exam period,"During examination periods, the library operates from 8:30 AM to 9:00 PM on weekdays, 8:30 AM to 5:00 PM on Saturdays, and 9:00 AM to 5:00 PM on Sundays."
exam_period,what hours is the library operating on exam period,"During examination periods, the library operates from 8:30 AM to 9:00 PM on weekdays, 8:30 AM to 5:00 PM on Saturdays, and 9:00 AM to 5:00 PM on Sundays."
exam_period,what time can i visit the library on exam period,"During examination periods, the library operates from 8:30 AM to 9:00 PM on weekdays, 8:30 AM to 5:00 PM on Saturdays, and 9:00 AM to 5:00 PM on Sundays."
exam_period,library exam period hours pls,"During examination periods, the library operates from 8:30 AM to 9:00 PM on weekdays, 8:30 AM to 5:00 PM on Saturdays, and 9:00 AM to 5:00 PM on Sundays."
exam_period,when does the library open and close on exam period,"During examination periods, the library operates from 8:30 AM to 9:00 PM on weekdays, 8:30 AM to 5:00 PM on Saturdays, and 9:00 AM to 5:00 PM on Sundays."
exam_period,what's the library's operating schedule on exam period,"During examination periods, the library operates from 8:30 AM to 9:00 PM on weekdays, 8:30 AM to 5:00 PM on Saturdays, and 9:00 AM to 5:00 PM on Sundays."
exam_period,tell me the library's opening times on exam period,"During examination periods, the library operates from 8:30 AM to 9:00 PM on weekdays, 8:30 AM to 5:00 PM on Saturdays, and 9:00 AM to 5:00 PM on Sundays."
exam_period,what time is the library open until on exam period,"During examination periods, the library operates from 8:30 AM to 9:00 PM on weekdays, 8:30 AM to 5:00 PM on Saturdays, and 9:00 AM to 5:00 PM on Sundays."
operating_weekend,is the library open on weekends,The library is only open on Saturday during the weekend. Sunday is closed.
operating_weekend,does the library operate on weekends,The library is only open on Saturday during the weekend. Sunday is closed.
operating_weekend,what are the weekend operating hours,The library is only open on Saturday during the weekend. Sunday is closed.
operating_weekend,is the library open on saturday and sunday,The library is only open on Saturday during the weekend. Sunday is closed.
operating_weekend,can i visit the library over the weekend,The library is only open on Saturday during the weekend. Sunday is closed.
operating_weekend,does the library open during the weekend,The library is only open on Saturday during the weekend. Sunday is closed.
operating_weekend,is the library available on weekends,The library is only open on Saturday during the weekend. Sunday is closed.
operating_weekend,what days is the library open on weekends,The library is only open on Saturday during the weekend. Sunday is closed.
operating_weekend,is weekend access available at the library,The library is only open on Saturday during the weekend. Sunday is closed.
operating_weekend,does the library close during weekends,The library is only open on Saturday during the weekend. Sunday is closed.
operating_weekend,weekend hours for the library,The library is only open on Saturday during the weekend. Sunday is closed.
operating_weekend,is the library open saturday and sunday,The library is only open on Saturday during the weekend. Sunday is closed.
closure_sunday,is the library open on sunday,"No, the library is closed on Sunday."
closure_sunday,does the library operate on sunday,"No, the library is closed on Sunday."
closure_sunday,can i visit the library on sunday,"No, the library is closed on Sunday."
closure_sunday,is sunday an operating day for the library,"No, the library is closed on Sunday."
closure_sunday,is the library closed on sunday,"No, the library is closed on Sunday."
closure_sunday,can i study in the library on sunday,"No, the library is closed on Sunday."
closure_sunday,is the library available on sunday,"No, the library is closed on Sunday."
closure_sunday,does the library open on sunday,"No, the library is closed on Sunday."
closure_sunday,sunday operating hours for library,"No, the library is closed on Sunday."
closure_sunday,is it possible to go to the library on sunday,"No, the library is closed on Sunday."
closure_sunday,does library close every sunday,"No, the library is closed on Sunday."
closure_sunday,is sunday a rest day for the library,"No, the library is closed on Sunday."
closure_public_holiday,is the library open on public holidays,"No, the library does not open on public holidays."
closure_public_holiday,does the library operate on public holidays,"No, the library does not open on public holidays."
closure_public_holiday,is the library closed during public holidays,"No, the library does not open on public holidays."
closure_public_holiday,can i visit the library on a public holiday,"No, the library does not open on public holidays."
closure_public_holiday,does library open on national holidays,"No, the library does not open on public holidays."
closure_public_holiday,is the library available during public holidays,"No, the library does not open on public holidays."
closure_public_holiday,does the library close for public holidays,"No, the library does not open on public holidays."
closure_public_holiday,is public holiday an off day for the library,"No, the library does not open on public holidays."
closure_public_holiday,will the library be open on a holiday,"No, the library does not open on public holidays."
closure_public_holiday,does the library operate during festive holidays,"No, the library does not open on public holidays."
closure_public_holiday,is the library closed on national holidays,"No, the library does not open on public holidays."
closure_public_holiday,can i study in the library during a public holiday,"No, the library does not open on public holidays."
discussion_room_booking,can i book a discussion room,"Yes, you can book a discussion room through the TARCApp under ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï"
discussion_room_booking,how do i book a discussion room,"Yes, you can book a discussion room through the TARCApp under ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï"
discussion_room_booking,is it possible to reserve a discussion room,"Yes, you can book a discussion room through the TARCApp under ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï"
discussion_room_booking,how can i reserve a group study room,"Yes, you can book a discussion room through the TARCApp under ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï"
discussion_room_booking,what's the process to book a discussion room,"Yes, you can book a discussion room through the TARCApp under ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï"
discussion_room_booking,can students book discussion rooms,"Yes, you can book a discussion room through the TARCApp under ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï"
discussion_room_booking,how do i reserve a room for group study,"Yes, you can book a discussion room through the TARCApp under ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï"
discussion_room_booking,steps to book a discussion room,"Yes, you can book a discussion room through the TARCApp under ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï"
discussion_room_booking,is discussion room booking available,"Yes, you can book a discussion room through the TARCApp under ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï"
discussion_room_booking,how do i apply to book a room,"Yes, you can book a discussion room through the TARCApp under ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï"
discussion_room_booking,can i reserve a room for a group project,"Yes, you can book a discussion room through the TARCApp under ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï"
discussion_room_booking,how to secure a discussion room booking,"Yes, you can book a discussion room through the TARCApp under ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï"
type_discussion_room,what types of discussion rooms are available,"There are three types of discussion rooms: a normal discussion room, a discussion room with a PC, and a presentation room with LCD projection and a whiteboard."
type_discussion_room,what kind of discussion rooms do you have,"There are three types of discussion rooms: a normal discussion room, a discussion room with a PC, and a presentation room with LCD projection and a whiteboard."
type_discussion_room,what discussion room options are there,"There are three types of discussion rooms: a normal discussion room, a discussion room with a PC, and a presentation room with LCD projection and a whiteboard."
type_discussion_room,how many types of discussion rooms are there,"There are three types of discussion rooms: a normal discussion room, a discussion room with a PC, and a presentation room with LCD projection and a whiteboard."
type_discussion_room,what are the different discussion room types,"There are three types of discussion rooms: a normal discussion room, a discussion room with a PC, and a presentation room with LCD projection and a whiteboard."
type_discussion_room,can you list the types of discussion rooms,"There are three types of discussion rooms: a normal discussion room, a discussion room with a PC, and a presentation room with LCD projection and a whiteboard."
type_discussion_room,what facilities do discussion rooms have,"There are three types of discussion rooms: a normal discussion room, a discussion room with a PC, and a presentation room with LCD projection and a whiteboard."
type_discussion_room,is there a discussion room with a projector,"There are three types of discussion rooms: a normal discussion room, a discussion room with a PC, and a presentation room with LCD projection and a whiteboard."
